,景区名称,地区,景区等级,经度BD,纬度BD,经度BD_wgs84,纬度BD_wgs84
0,石景山游乐园,北京,4A,116.2155183,39.91781108,116.2028471,39.91086223
1,首钢工业文化旅游区,北京,3A,116.170035,39.91590409,116.1574615,39.90824134
2,八大处公园,北京,4A,116.1901956,39.96852662,116.1775812,39.96112454
3,北京龙徽葡萄酒博物馆,北京,3A,116.2601843,39.93266315,116.2476948,39.92538586
4,北京西山国家森林公园,北京,3A,116.209193,39.97853537,116.196504,39.97148965
5,阳台山自然风景区,北京,2A,116.105479,40.07526005,116.0925239,40.06820694
6,玉渊潭公园,北京,4A,116.3265255,39.92246669,116.3138632,39.9153501
7,圆明园遗址公园,北京,4A,116.309804,40.01265807,116.2972405,40.00526407
8,香山公园,北京,4A,116.195044,39.99619417,116.182393,39.98888038
9,颐和园,北京,5A,116.278749,40.00486904,116.2662954,39.99731356
10,北京鹫峰国家森林公园,北京,3A,116.086286,40.0615841,116.0734031,40.05436532
11,中央电视塔,北京,4A,116.3134082,39.92527777,116.3008546,39.91795439
12,北京市植物园,北京,4A,116.2161863,40.00756107,116.2034762,40.00060679
13,紫竹院公园,北京,4A,116.3248304,39.94843709,116.3121787,39.9412954
14,太平洋海底世界博览馆,北京,3A,116.312857,39.92490511,116.3003078,39.91757272
15,北京汇通诺尔狂飚乐园,北京,3A,116.1450961,40.05758866,116.1323834,40.05007185
16,北京凤凰岭自然风景公园,北京,4A,116.0915879,40.11288371,116.0786326,40.10572165
17,上庄翠湖农业观光园景区,北京,2A,116.1788867,40.12940154,116.1662655,40.12180059
18,稻香湖公园,北京,2A,116.188155,40.09877489,116.1755213,40.09132475
19,北京西山大觉寺,北京,3A,116.112938,40.05850206,116.1000056,40.05143518
20,北京市海淀百望山森林公园,北京,3A,116.262167,40.03608807,116.2496677,40.02876783
21,大钟寺古钟博物馆,北京,3A,116.3446107,39.97491633,116.3318184,39.96792784
22,田妈妈蘑法森林,北京,1A,116.184544,40.11920503,116.1719103,40.11168755
23,皇家菜博物馆,北京,3A,116.275436,39.95130849,116.2630115,39.94379667
24,北京瓜草地旅游开发有限公司,北京,2A,115.981975,39.95428209,115.9693167,39.94748522
25,十八潭景区,北京,3A,115.9153585,40.00956903,115.9029975,40.0022459
26,百花山自然风景区,北京,3A,115.5853287,39.84553227,115.5728328,39.83832082
27,小龙门国家森林公园,北京,2A,115.451332,39.98981809,115.4384134,39.98213201
28,灵山风景区,北京,2A,115.508638,40.04596104,115.4957117,40.03911294
29,北京京西古道景区管理中心,北京,3A,116.056062,39.97249705,116.0433738,39.96484242
30,神泉峡景区,北京,3A,115.979645,40.04867007,115.9669927,40.04186538
31,灵水举人村,北京,3A,115.7380322,40.00947875,115.7251527,40.00258611
32,戒台寺,北京,4A,116.092691,39.875332,116.0797615,39.86819473
33,北京双龙峡自然风景区,北京,3A,115.7241148,39.95688951,115.7113383,39.9498412
34,八奇洞风景区,北京,4A,116.033785,39.89954803,116.0211545,39.89198234
35,潭柘寺,北京,4A,116.0376202,39.91122022,116.0250009,39.90361015
36,妙峰山风景名胜区,北京,3A,116.032934,40.07094304,116.0203009,40.06338866
37,北京珍珠湖景区,北京,3A,115.7820799,40.08698792,115.7693725,40.07968685
38,黄芩仙谷景区,北京,3A,115.674393,39.97407008,115.6618305,39.96668446
39,北京爨柏景区管理中心,北京,3A,115.6693326,39.97754161,115.6567555,39.97022808
40,定都阁景区,北京,3A,116.062083,39.91321306,116.04938,39.90562038
41,聚灵峡（灵山古道）景区,北京,3A,115.4894021,39.99971017,115.4764144,39.99266752
42,谷山村风景区,北京,3A,116.065568,39.99762598,116.052805,39.99006482
43,白草畔自然风景区,北京,3A,115.6107219,39.81381843,115.5981167,39.80704863
44,北京金水湖旅游开发有限公司,北京,3A,116.692759,40.40311705,116.6801534,40.3961596
