Unnamed: 0,景区名称,地区,景区等级,经度BD,纬度BD,经度BD_wgs84,纬度BD_wgs84
0,石景山游乐园,北京,4A,116.2155183,39.91781108,116.2091827,39.914336655
1,首钢工业文化旅游区,北京,3A,116.170035,39.91590409,116.16374825,39.912072714999994
2,八大处公园,北京,4A,116.1901956,39.96852662,116.1838884,39.964825579999996
3,北京龙徽葡萄酒博物馆,北京,3A,116.2601843,39.93266315,116.25393955000001,39.929024505
4,北京西山国家森林公园,北京,3A,116.209193,39.97853537,116.2028485,39.97501251
5,阳台山自然风景区,北京,2A,116.105479,40.07526005,116.09900145,40.071733495000004
6,玉渊潭公园,北京,4A,116.3265255,39.92246669,116.32019435000001,39.918908395
7,圆明园遗址公园,北京,4A,116.309804,40.01265807,116.30352225,40.00896107
8,香山公园,北京,4A,116.195044,39.99619417,116.1887185,39.992537275000004
9,颐和园,北京,5A,116.278749,40.00486904,116.2725222,40.0010913
10,北京鹫峰国家森林公园,北京,3A,116.086286,40.0615841,116.07984454999999,40.057974709999996
11,中央电视塔,北京,4A,116.3134082,39.92527777,116.3071314,39.92161608
12,北京市植物园,北京,4A,116.2161863,40.00756107,116.20983125000001,40.00408393
13,紫竹院公园,北京,4A,116.3248304,39.94843709,116.31850455,39.944866245
14,太平洋海底世界博览馆,北京,3A,116.312857,39.92490511,116.3065824,39.921238915
15,北京汇通诺尔狂飚乐园,北京,3A,116.1450961,40.05758866,116.13873975,40.053830255
16,北京凤凰岭自然风景公园,北京,4A,116.0915879,40.11288371,116.08511025,40.10930268
17,上庄翠湖农业观光园景区,北京,2A,116.1788867,40.12940154,116.1725761,40.125601065
18,稻香湖公园,北京,2A,116.188155,40.09877489,116.18183815,40.09504982
19,北京西山大觉寺,北京,3A,116.112938,40.05850206,116.10647180000001,40.05496862
20,北京市海淀百望山森林公园,北京,3A,116.262167,40.03608807,116.25591735,40.03242795
21,大钟寺古钟博物馆,北京,3A,116.3446107,39.97491633,116.33821455,39.971422085
22,田妈妈蘑法森林,北京,1A,116.184544,40.11920503,116.17822715,40.11544629
23,皇家菜博物馆,北京,3A,116.275436,39.95130849,116.26922375000001,39.94755258
24,北京瓜草地旅游开发有限公司,北京,2A,115.981975,39.95428209,115.97564585,39.950883655
25,十八潭景区,北京,3A,115.9153585,40.00956903,115.909178,40.005907465
26,百花山自然风景区,北京,3A,115.5853287,39.84553227,115.57908075,39.841926545
27,小龙门国家森林公园,北京,2A,115.451332,39.98981809,115.44487269999999,39.98597505
28,灵山风景区,北京,2A,115.508638,40.04596104,115.50217485,40.04253699
29,北京京西古道景区管理中心,北京,3A,116.056062,39.97249705,116.04971789999999,39.968669735
30,神泉峡景区,北京,3A,115.979645,40.04867007,115.97331885,40.045267725
31,灵水举人村,北京,3A,115.7380322,40.00947875,115.73159245,40.006032430000005
32,戒台寺,北京,4A,116.092691,39.875332,116.08622625000001,39.871763365
33,北京双龙峡自然风景区,北京,3A,115.7241148,39.95688951,115.71772655,39.953365355
34,八奇洞风景区,北京,4A,116.033785,39.89954803,116.02746975,39.895765185
35,潭柘寺,北京,4A,116.0376202,39.91122022,116.03131055,39.907415185
36,妙峰山风景名胜区,北京,3A,116.032934,40.07094304,116.02661745,40.06716585
37,北京珍珠湖景区,北京,3A,115.7820799,40.08698792,115.77572620000001,40.083337385
38,黄芩仙谷景区,北京,3A,115.674393,39.97407008,115.66811175,39.97037727
39,北京爨柏景区管理中心,北京,3A,115.6693326,39.97754161,115.66304405,39.973884845
40,定都阁景区,北京,3A,116.062083,39.91321306,116.05573150000001,39.909416719999996
41,聚灵峡（灵山古道）景区,北京,3A,115.4894021,39.99971017,115.48290825000001,39.996188845
42,谷山村风景区,北京,3A,116.065568,39.99762598,116.05918650000001,39.9938454
43,白草畔自然风景区,北京,3A,115.6107219,39.81381843,115.6044193,39.81043353
44,北京金水湖旅游开发有限公司,北京,3A,116.692759,40.40311705,116.6864562,40.399638325
45,韩村河景区,北京,3A,115.9603916,39.60794189,115.95415324999999,39.60445315
46,北京百瑞谷景区,北京,3A,115.659979,39.86190305,115.65367915,39.85833351
47,北京市西周燕都遗址博物馆,北京,3A,116.0633186,39.62290686,116.05697040000001,39.619130345
48,龙门生态园景区,北京,3A,115.907708,39.62365007,115.90153235,39.620055879999995
49,房山世界地质公园博物馆,北京,3A,115.880227,39.59056202,115.87397285,39.587195645
50,张坊古战道,北京,3A,115.720894,39.57696712,115.71454635,39.57344128
51,北京莱恩堡国际酒庄,北京,3A,116.2187779,39.79011448,116.2124455,39.78665892
52,上方山国家森林公园,北京,3A,115.83208,39.68001212,115.825816,39.67642683
53,北京十渡风景名胜区,北京,4A,115.606398,39.64440307,115.60009885,39.640991875
54,中粮智慧农场,北京,3A,116.076944,39.59682888,116.07055975,39.59316377
55,青龙湖水上游乐园,北京,3A,116.087852,39.79423712,116.0814182,39.79064436
56,云居寺,北京,4A,115.7813913,39.61520818,115.77506055,39.611583005
57,圣莲山旅游度假区,北京,4A,115.7375883,39.84753208,115.73116619999999,39.84408998
58,没有共产党就没有新中国纪念馆,北京,2A,115.5911782,39.7868478,115.58492085,39.78329443
59,石花洞,北京,4A,115.949587,39.80389211,115.9433897,39.800305755
60,周口店遗址博物馆,北京,4A,115.9432415,39.69358891,115.93707485,39.689965195
61,北京百花山旅游景区,北京,3A,115.5975277,39.84011149,115.59125245,39.836615275
62,坡峰岭风景区,北京,2A,115.8442702,39.70977933,115.8379855,39.70631190500001
63,窦店清真寺,北京,2A,116.0723381,39.6441759,116.065955,39.640462615000004
64,北京首创奥莱休闲驿站景区,北京,3A,116.194065,39.76917206,116.18775765,39.765512685000004
65,仙栖洞景区,北京,3A,115.7557573,39.66531004,115.74934705,39.661873345000004
66,中华石雕艺术园,北京,2A,115.8287818,39.55630375,115.82252890000001,39.552700095
67,银狐洞,北京,2A,115.910029,39.8043181,115.90386415,39.800699395
68,北京韩美林艺术馆,北京,4A,116.6834787,39.88148493,116.6772293,39.87797473
69,通州大运河森林旅游区,北京,4A,116.748887,39.88240008,116.7426268,39.878679105
70,中国民兵武器装备陈列馆,北京,3A,116.6768005,39.94362401,116.67059485,39.94006506
71,通州运河公园,北京,3A,116.6949342,39.91401939,116.6886519,39.910583525
72,北京奥林匹克水上公园,北京,4A,116.3992058,39.99924492,116.39287575,39.995377000000005
